epoch,train_loss,test_accuracy,epoch_time_seconds
1,0.13659674122230583,0.98065,11.009228467941284
2,0.049557910048599434,0.986175,6.98149847984314
3,0.03715470987064307,0.985575,6.734844446182251
4,0.030563722224608222,0.98835,6.810481548309326
5,0.025214087578462066,0.987125,5.9999120235443115
6,0.023171475608902637,0.988825,6.519659042358398
7,0.019582843226291287,0.988225,7.149240493774414
8,0.0179504116476853,0.989075,6.605322599411011
9,0.017167808237805296,0.987375,6.651037931442261
10,0.01484081450937145,0.98955,6.723266124725342
11,0.013363321256170521,0.98945,6.388275623321533
12,0.01361530784990138,0.986275,7.035828590393066
13,0.012012121431442148,0.987825,6.4657604694366455
14,0.010685044661489949,0.990525,6.471097469329834
15,0.01049848601742308,0.987875,6.955592632293701
16,0.010107242894956648,0.99025,6.66374135017395
17,0.009931184376266274,0.9897,6.660915851593018
18,0.009260584526796584,0.990175,6.733590602874756
19,0.009594575135605231,0.989175,5.942458868026733
20,0.008783858209880176,0.988725,5.878623723983765
21,0.007640791261123854,0.9897,5.574272632598877
22,0.007630040172610614,0.989375,7.1026575565338135
23,0.006877676226389307,0.990125,6.979831695556641
24,0.008116435962044068,0.98995,7.0307676792144775
25,0.0077567552603574706,0.989775,6.83641505241394
