epoch,train_loss,test_accuracy,epoch_time_seconds
1,1.1877140381217541,0.7673404255319148,8.424107313156128
2,0.618258853573605,0.8049468085106383,3.615818738937378
3,0.5087960800703835,0.8203191489361702,3.01141095161438
4,0.45227673434024485,0.8228723404255319,3.282104730606079
5,0.41279452769465036,0.8306382978723404,3.261392831802368
6,0.3818846618697654,0.8345744680851064,3.058987855911255
7,0.3570911459523628,0.8402127659574468,2.9442288875579834
8,0.3378220634762518,0.8299468085106383,3.2751386165618896
9,0.32086032345823573,0.8294680851063829,3.139038562774658
10,0.30784482721289896,0.8345744680851064,3.1519711017608643
11,0.2892715565489428,0.831063829787234,2.723738670349121
12,0.2820274750976002,0.8252127659574469,2.641066312789917
13,0.27095651572646057,0.8399468085106383,2.6103603839874268
14,0.2587852770656482,0.839095744680851,2.5758779048919678
15,0.250418830376405,0.8368085106382979,2.599289655685425
16,0.24139331402552075,0.8337765957446809,2.645399808883667
17,0.2362651005050176,0.8372872340425532,2.5904369354248047
18,0.22836460274269138,0.8370212765957447,2.6450412273406982
19,0.21755444659636572,0.8312234042553192,2.5920279026031494
20,0.21712909342206982,0.824840425531915,2.6016597747802734
21,0.21276279468072484,0.8311702127659575,2.664921998977661
22,0.2012528381331474,0.8292553191489361,3.152346611022949
23,0.19714684946234948,0.8339893617021277,2.936433792114258
24,0.19081503463007207,0.8339893617021277,3.210232734680176
25,0.1933666685452828,0.8325,3.062781572341919
