epoch,train_loss,test_accuracy,epoch_time_seconds
1,0.235579368966157,0.980625,13.398080348968506
2,0.05011438064849072,0.9891,8.427312135696411
3,0.03430537462456903,0.9915,8.317907094955444
4,0.028783141766418652,0.991525,8.405479669570923
5,0.023865256494264613,0.99325,8.328812599182129
6,0.021085433532863157,0.993575,8.273412704467773
7,0.019462247566778713,0.993425,8.357711791992188
8,0.016969510688702626,0.99485,8.705489158630371
9,0.015421217771123912,0.994675,9.981963634490967
10,0.01347067042676879,0.99485,9.497772216796875
11,0.013228169960110808,0.994575,9.27653956413269
12,0.011660015485537396,0.99435,9.587022066116333
13,0.011100958340735769,0.994625,9.738054037094116
14,0.010183386176999317,0.99475,9.875857591629028
15,0.0087420048062076,0.99515,9.703619003295898
16,0.007890823550387296,0.99495,8.865259647369385
17,0.007872583909528151,0.99545,11.47295880317688
18,0.006967057855223923,0.9946,11.631452083587646
19,0.005436713116984171,0.99565,10.006345748901367
20,0.005466025479550936,0.99485,9.646927833557129
21,0.0051147130130331465,0.9946,9.528544425964355
22,0.004726366559937119,0.99335,9.826138973236084
23,0.004386899634889925,0.994125,8.390844106674194
24,0.003607941803205679,0.995675,8.27612566947937
25,0.002980944000061419,0.994925,8.63878083229065
