epoch,train_loss,test_accuracy,epoch_time_seconds
1,0.7768037999506856,0.8611538461538462,7.694217205047607
2,0.3787832911141583,0.8803846153846154,4.086530685424805
3,0.30286382896001224,0.8964903846153847,3.5410635471343994
4,0.2616093391399892,0.8964423076923077,3.7425713539123535
5,0.22961702961169306,0.9040865384615384,3.9806454181671143
6,0.20800821538098524,0.9017788461538462,3.1589291095733643
7,0.19188292294007833,0.9055288461538461,3.6138598918914795
8,0.17580209122818025,0.9100480769230769,3.2817270755767822
9,0.1645478222091667,0.9051923076923077,3.0099730491638184
10,0.15574194411518144,0.9087019230769231,3.1999993324279785
11,0.1437429877028602,0.911298076923077,3.065507173538208
12,0.13682611900397013,0.910625,3.0435287952423096
13,0.1303008305305829,0.90625,2.9564425945281982
14,0.12339719009326129,0.906201923076923,3.0459532737731934
15,0.11781768280951703,0.9055288461538461,3.1565709114074707
16,0.11296114960654838,0.9081730769230769,3.111778974533081
17,0.10586950547809972,0.9096634615384616,3.0621161460876465
18,0.10741091614253208,0.9057692307692308,2.9923911094665527
19,0.10424407707435675,0.9074038461538462,2.959212303161621
20,0.09989261564600174,0.9074519230769231,3.101306676864624
21,0.09811278078399721,0.9082211538461539,3.0446033477783203
22,0.0943054307679661,0.9090384615384616,3.0468878746032715
23,0.0937817247553927,0.905673076923077,3.8835387229919434
24,0.09453731453137808,0.9042307692307693,3.7761037349700928
25,0.08754780977109416,0.9058173076923077,3.2462053298950195
