epoch,train_loss,test_accuracy,epoch_time_seconds
1,0.3823670027619701,0.9507,6.715152263641357
2,0.11615198910615201,0.9656,1.9459693431854248
3,0.07888302396414644,0.9689,1.6868038177490234
4,0.059746352608426145,0.956,1.9334774017333984
5,0.060961750904256005,0.9748,1.7104556560516357
6,0.044625039259761065,0.9728,1.7036066055297852
7,0.04817228800601373,0.9697,1.9449758529663086
8,0.05099753033117217,0.968,1.853898286819458
9,0.04438987540049573,0.9725,2.2059786319732666
10,0.04139894340187311,0.9726,2.17189884185791
11,0.03795970314166556,0.9736,2.047841787338257
12,0.04627051920693178,0.9717,1.9612863063812256
13,0.0357257187232312,0.9715,1.9422845840454102
14,0.03385758795380845,0.9728,2.021261215209961
15,0.034206876026119215,0.9722,1.8621032238006592
16,0.04377579625096109,0.972,1.9933676719665527
17,0.05297999745392698,0.9623,1.9763731956481934
18,0.051464904099702835,0.9748,1.872603178024292
19,0.04349339492145484,0.9713,2.393202781677246
20,0.03774172677737424,0.9694,2.101821184158325
21,0.03425805308556153,0.9745,2.083083152770996
22,0.031423254088514437,0.9713,2.0224478244781494
23,0.04057393815778827,0.968,1.9590742588043213
24,0.055866612168818205,0.968,2.0466294288635254
25,0.048287867023846354,0.9697,1.8446917533874512
