epoch,train_loss,test_accuracy,epoch_time_seconds
1,0.7687219479200194,0.9378,7.646806955337524
2,0.15045736357569695,0.9687,2.345698833465576
3,0.09484131125954248,0.9679,2.3751816749572754
4,0.07732721875911042,0.9796,2.382934093475342
5,0.06292387735793147,0.9761,2.6071624755859375
6,0.05106776125602803,0.9845,2.6847901344299316
7,0.042663922849095474,0.9844,2.837716817855835
8,0.04219626875246985,0.9855,2.6903908252716064
9,0.03434836186500172,0.9881,3.0486555099487305
10,0.032080392195385395,0.9849,2.2819302082061768
11,0.02807809454309991,0.9889,2.343170166015625
12,0.025417587988204874,0.9874,2.411857843399048
13,0.024643628029310603,0.9866,2.482145309448242
14,0.022599042598473822,0.9893,2.3457424640655518
15,0.017894773491484633,0.9918,2.2737715244293213
16,0.017555051522676723,0.9906,2.369014263153076
17,0.015388448947598622,0.9899,2.4459080696105957
18,0.019944387681434972,0.9884,2.5760414600372314
19,0.012670806711697477,0.9894,2.524117946624756
20,0.014279281712626503,0.9905,2.238856315612793
21,0.011566488107792655,0.9878,2.682880401611328
22,0.011577816699805149,0.9889,3.1022987365722656
23,0.008998990156569407,0.9859,2.7178165912628174
24,0.014820661162957549,0.9908,2.385589122772217
25,0.007593816647432365,0.9915,2.4461653232574463
