epoch,train_loss,test_accuracy,epoch_time_seconds
1,0.33492305597006267,0.9543,6.624673366546631
2,0.10940604057099859,0.9682,1.9457969665527344
3,0.07376654888108625,0.9738,1.977400541305542
4,0.05446401780660627,0.9772,1.9830293655395508
5,0.038949599852627616,0.9775,2.1040334701538086
6,0.030891883976252404,0.9778,1.7756831645965576
7,0.027313276628127037,0.9782,1.6388778686523438
8,0.023044162808712257,0.978,1.7064166069030762
9,0.02059470627741036,0.9798,1.7609524726867676
10,0.017715397965699688,0.9808,1.674976110458374
11,0.013446611883039822,0.9779,1.6813116073608398
12,0.011525043400825333,0.9803,1.6221373081207275
13,0.01060602012469228,0.9788,1.6177475452423096
14,0.013253128696706588,0.979,1.7513904571533203
15,0.008521448840560802,0.98,1.728978157043457
16,0.011371105056950602,0.9769,1.698742389678955
17,0.018201997105063775,0.9795,1.76008939743042
18,0.009165472483215064,0.9804,1.70499849319458
19,0.00652942974470611,0.9795,1.75209641456604
20,0.005225013290389867,0.9794,1.6765778064727783
21,0.009477705217234917,0.9795,1.6600313186645508
22,0.016019393378174155,0.9793,1.7038016319274902
23,0.014860740554976767,0.9811,1.6449077129364014
24,0.007181930524431232,0.9808,1.815432071685791
25,0.004240410582959589,0.9809,1.7006754875183105
