epoch,train_loss,test_accuracy,epoch_time_seconds
1,0.76737578420854,0.8541346153846154,8.701424598693848
2,0.40898804452087056,0.871875,3.8269050121307373
3,0.3375069724365336,0.8766826923076924,4.340860843658447
4,0.3040237729666663,0.8826442307692308,3.7392899990081787
5,0.28955452895311057,0.8809615384615385,4.017696857452393
6,0.2739432394870969,0.8858173076923077,4.594883680343628
7,0.2637507722514575,0.8844711538461538,3.751311779022217
8,0.2592389245258003,0.8902884615384615,3.642972946166992
9,0.2528820152043319,0.8930288461538461,3.866274833679199
10,0.2519261154239295,0.8901923076923077,3.7355334758758545
11,0.2521838264265021,0.8920673076923077,4.401532173156738
12,0.24784065899057467,0.8813942307692307,3.903899908065796
13,0.25893250626863024,0.8796153846153846,4.06823992729187
14,0.24951056195575683,0.8874519230769231,3.3783814907073975
15,0.2490804169754513,0.8876923076923077,3.816284656524658
16,0.2528560410757534,0.8836538461538461,3.822331428527832
17,0.2538022722621433,0.8884615384615384,3.6135330200195312
18,0.2531018183856714,0.8850961538461538,3.8972091674804688
19,0.24728839581862824,0.8874519230769231,3.478379011154175
20,0.2505592331290245,0.8840384615384616,3.5286266803741455
21,0.2569293843307456,0.8833653846153846,3.5284993648529053
22,0.25307756961613403,0.8804807692307692,3.521000623703003
23,0.25471010529359833,0.8835096153846154,3.548466444015503
24,0.25535219956616884,0.8790384615384615,3.481611728668213
25,0.2525293043524515,0.8876923076923077,3.788696527481079
