epoch,train_loss,test_accuracy,epoch_time_seconds
1,1.7166605109003334,0.7430851063829788,9.92327332496643
2,0.671050744898179,0.805372340425532,4.607136964797974
3,0.5361419028825889,0.8238829787234042,4.7303290367126465
4,0.47545330125282254,0.8320212765957447,4.542086601257324
5,0.4348353283707373,0.8457446808510638,4.731580495834351
6,0.4096791730746964,0.853404255319149,4.982531309127808
7,0.39093848766244915,0.8579787234042553,4.76558780670166
8,0.37366439894313724,0.8547872340425532,5.009692907333374
9,0.3597274417251483,0.8597872340425532,4.854227066040039
10,0.34857985835808974,0.8616489361702128,4.571990251541138
11,0.33849902309443614,0.8660638297872341,5.146302700042725
12,0.32953361189203567,0.8651063829787234,5.060447454452515
13,0.3241185946432174,0.8647872340425532,5.781489610671997
14,0.3156018433123153,0.8572340425531915,5.582457065582275
15,0.30961923766459815,0.8710638297872341,4.682233572006226
16,0.30140567372017857,0.8717021276595744,4.493821620941162
17,0.2974646252609486,0.8713297872340425,4.516918897628784
18,0.29047986696478467,0.8759574468085106,4.474140405654907
19,0.2846541617116238,0.8745744680851064,4.9014198780059814
20,0.28013674543993505,0.8722872340425532,5.02815055847168
21,0.27231684333868156,0.8727659574468085,4.689253091812134
22,0.26973006162977864,0.8589361702127659,4.974090814590454
23,0.2650427233040063,0.8772340425531915,4.587427854537964
24,0.26066009302484505,0.8727127659574468,4.552854537963867
25,0.2563297561121203,0.8713829787234042,4.537765026092529
